Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
sub_C5DFE	ROM	000C5DFE	00000114			R	.	.	.	.	.	.	.
Run_TMachine_Demo	ROM	000C5F12	00000054			R	.	.	.	.	.	.	.
sub_C638C	ROM	000C638C	00000192			R	.	.	.	.	.	.	.
sub_C66D6	ROM	000C66D6	0000003E			R	.	.	.	.	.	.	.
sub_C6714	ROM	000C6714	00000042			R	.	.	.	.	.	.	.
sub_C7148	ROM	000C7148	000000E8			R	.	.	.	.	.	.	.
sub_C7230	ROM	000C7230	0000003E			R	.	.	.	.	.	.	.
sub_C726E	ROM	000C726E	0000000E			R	.	.	.	.	.	.	.
sub_C727C	ROM	000C727C	00000014			R	.	.	.	.	.	.	.
sub_C85AC	ROM	000C85AC	0000015E			R	.	.	.	.	.	.	.
HLine_2Cell_Scroller	ROM	000C870A	00000176			R	.	.	.	.	.	.	.
sub_C8CDE	ROM	000C8CDE	00000030			R	.	.	.	.	.	.	.
sub_C8D0E	ROM	000C8D0E	0000003A			R	.	.	.	.	.	.	.
sub_C8DA8	ROM	000C8DA8	00000032			R	.	.	.	.	.	.	.
sub_C9330	ROM	000C9330	00000126			R	.	.	.	.	.	.	.
sub_C9624	ROM	000C9624	00000156			R	.	.	.	.	.	.	.
sub_C9CFE	ROM	000C9CFE	00000056			R	.	.	.	.	.	.	.
sub_C9D54	ROM	000C9D54	0000002A			R	.	.	.	.	.	.	.
sub_C9D80	ROM	000C9D80	00000222			R	.	.	.	.	.	.	.
sub_C9FA2	ROM	000C9FA2	00000090			R	.	.	.	.	.	.	.
nullsub_3	ROM	000CA034	00000002			R	.	.	.	.	.	.	.
VortexQ_meets_Asterite	ROM	000CB9FA	000002DE	00000848		R	.	.	.	.	B	.	.
sub_CBCD8	ROM	000CBCD8	00000054			R	.	.	.	.	.	.	.
sub_CC05E	ROM	000CC05E	00000126			R	.	.	.	.	.	.	.
sub_CC64C	ROM	000CC64C	00000046			R	.	.	.	.	.	.	.
sub_CCC1E	ROM	000CCC1E	00000366			R	.	.	.	.	.	.	.
UniversePrologue	ROM	000CE43E	0000021A	000015BC		R	.	.	.	.	B	.	.
sub_CE970	ROM	000CE970	0000007A			R	.	.	.	.	.	.	.
sub_CED64	ROM	000CED64	000000B4			R	.	.	.	.	.	.	.
sub_CF0CC	ROM	000CF0CC	000000D4			R	.	.	.	.	.	.	.
